Date,Marketing_Channel,Impressions,Clicks,Leads,Signups,Customers,Campaign_Cost
2024-01-01,Google Ads,242132,10068,1310,472,116,8975.92
2024-01-01,Facebook Ads,168711,6048,643,165,39,7945.57
2024-01-01,Instagram,225110,6240,470,133,23,4780.58
2024-01-01,Email Marketing,38187,5105,1458,671,229,1760.38
2024-01-01,Organic Search,108566,6104,738,289,76,1108.63
2024-02-01,Google Ads,274857,12556,1455,435,98,9739.57
2024-02-01,Facebook Ads,210462,7358,633,213,39,7844.7
2024-02-01,Instagram,86474,2412,197,47,10,5200.41
2024-02-01,Email Marketing,53390,8197,2309,1012,360,1519.88
2024-02-01,Organic Search,107327,6253,886,345,121,1362.39
2024-03-01,Google Ads,355284,14703,1508,516,124,10693.73
2024-03-01,Facebook Ads,278690,10238,1094,355,60,7732.13
2024-03-01,Instagram,186900,6078,479,118,20,5988.72
2024-03-01,Email Marketing,76968,11926,3328,1650,570,2021.55
2024-03-01,Organic Search,240086,12368,1605,526,170,1258.66
2024-04-01,Google Ads,162539,6492,811,268,67,13467.24
2024-04-01,Facebook Ads,209318,7396,674,229,47,8996.7
2024-04-01,Instagram,249416,8036,669,208,42,5435.83
2024-04-01,Email Marketing,73152,10510,2330,1115,511,1863.28
2024-04-01,Organic Search,207915,12425,1482,565,164,1374.95
2024-05-01,Google Ads,162482,8089,919,323,87,11739.25
2024-05-01,Facebook Ads,272050,8943,947,302,53,9964.62
2024-05-01,Instagram,117173,3440,237,63,12,6451.78
2024-05-01,Email Marketing,42316,7087,1635,860,376,1879.43
2024-05-01,Organic Search,91271,4984,799,294,98,1666.94
2024-06-01,Google Ads,217624,8714,1074,396,82,11682.23
2024-06-01,Facebook Ads,319651,10103,1144,333,67,9080.33
2024-06-01,Instagram,201237,5477,494,154,25,6099.33
2024-06-01,Email Marketing,53354,8035,1865,1071,500,1973.93
2024-06-01,Organic Search,89016,4707,629,255,87,1623.96
2024-07-01,Google Ads,448159,18154,1957,767,199,9516.79
2024-07-01,Facebook Ads,232576,9066,848,240,48,7782.69
2024-07-01,Instagram,115662,3647,269,71,14,5830.49
2024-07-01,Email Marketing,63756,9123,2310,1158,486,1720.76
2024-07-01,Organic Search,176449,9456,1480,585,194,1396.1
2024-08-01,Google Ads,245424,11634,1304,391,103,9753.84
2024-08-01,Facebook Ads,200741,6654,742,239,56,7261.57
2024-08-01,Instagram,204440,6816,603,158,27,5968.84
2024-08-01,Email Marketing,65077,9463,2291,1264,584,1568.02
2024-08-01,Organic Search,122969,6534,847,302,85,1491.21
2024-09-01,Google Ads,258870,11256,1267,485,135,13055.03
2024-09-01,Facebook Ads,219261,6763,702,191,32,8072.06
2024-09-01,Instagram,299332,8631,665,164,30,5061.4
2024-09-01,Email Marketing,44733,7486,2062,1142,416,1688.83
2024-09-01,Organic Search,233846,11710,1650,678,183,1524.19
2024-10-01,Google Ads,262728,10956,1280,475,103,11211.78
2024-10-01,Facebook Ads,351447,11778,1282,358,70,7796.32
2024-10-01,Instagram,170334,4596,360,107,16,7084.75
2024-10-01,Email Marketing,70031,11046,2894,1351,629,2249.88
2024-10-01,Organic Search,208601,12106,1465,568,149,1395.53
2024-11-01,Google Ads,170032,6808,904,336,83,12135.03
2024-11-01,Facebook Ads,321306,10831,1072,336,56,11092.12
2024-11-01,Instagram,189146,5504,457,128,26,7228.5
2024-11-01,Email Marketing,28827,4785,1356,753,316,2507.66
2024-11-01,Organic Search,84625,4608,654,281,81,1963.67
2024-12-01,Google Ads,573739,24418,2679,903,188,15532.14
2024-12-01,Facebook Ads,148266,4964,548,141,31,9929.66
2024-12-01,Instagram,107296,3102,281,68,12,8552.06
2024-12-01,Email Marketing,92491,14708,4015,2303,892,2404.01
2024-12-01,Organic Search,275284,16706,2590,963,315,2018.18
